week_date,R03,R06
2015-11-15,70.0,7.0
2015-11-22,32.0,13.0
2015-11-29,19.0,11.0
2015-12-06,25.0,9.33
2015-12-13,72.0,11.1
2015-12-20,52.0,6.0
2015-12-27,50.0,11.3
2016-01-03,48.0,13.0
2016-01-10,35.0,9.0
2016-01-17,21.0,12.0
2016-01-24,46.0,17.0
2016-01-31,62.0,12.5
2016-02-07,37.0,10.0
2016-02-14,78.0,16.0
2016-02-21,60.0,12.0
2016-02-28,67.0,19.0
2016-03-06,28.0,19.0
2016-03-13,62.0,12.34
2016-03-20,81.0,26.0
2016-03-27,52.0,26.0
2016-04-03,74.0,44.4
2016-04-10,60.0,40.6
2016-04-17,50.0,39.9
2016-04-24,40.0,26.8
2016-05-01,25.0,26.2
2016-05-08,9.0,32.0
2016-05-15,35.0,20.5
2016-05-22,46.0,34.2
2016-05-29,21.0,40.4
2016-06-05,35.0,31.0
2016-06-12,36.0,38.2
2016-06-19,42.0,37.0
2016-06-26,22.0,25.6
2016-07-03,45.0,28.0
2016-07-10,15.0,24.3
2016-07-17,21.0,32.53
2016-07-24,10.0,22.0
2016-07-31,30.0,23.0
2016-08-07,62.0,20.3
2016-08-14,13.0,19.0
2016-08-21,17.0,22.5
2016-08-28,21.0,17.2
2016-09-04,16.0,20.3
2016-09-11,26.0,20.0
2016-09-18,37.0,12.1
2016-09-25,29.0,11.0
2016-10-02,38.0,17.2
2016-10-09,46.0,13.5
2016-10-16,59.0,13.3
2016-10-23,47.0,15.1
2016-10-30,29.0,9.0
2016-11-06,42.0,23.2
2016-11-13,36.0,10.6
2016-11-20,22.0,10.4
2016-11-27,48.0,12.0
2016-12-04,55.0,4.2
2016-12-11,71.0,11.0
2016-12-18,88.0,9.2
2016-12-25,31.0,6.5
2017-01-01,55.25,4.625
2017-01-08,47.65625,14.58333333
2017-01-15,31.66666667,12.16666667
2017-01-22,45.41666667,15.83333333
2017-01-29,55.41666667,12.70833333
2017-02-05,44.33333333,14.43333333
2017-02-12,27.0,9.0
2017-02-19,18.0,10.3
2017-02-26,36.0,8.2
2017-03-05,48.0,19.5
2017-03-12,20.0,17.0
2017-03-19,25.0,11.0
2017-03-26,31.0,32.1
2017-04-02,20.0,37.9
2017-04-09,47.0,22.5
2017-04-16,58.0,23.2
2017-04-23,17.875,16.0
2017-04-30,48.0,45.3
2017-05-07,44.0,25.1
2017-05-14,24.0,40.7
2017-05-21,27.0,39.0
2017-05-28,23.0,42.01
2017-06-04,44.0,26.0
2017-06-11,37.0,38.7
2017-06-18,40.0,44.37
2017-06-25,23.0,34.83
2017-07-02,39.0,31.0
2017-07-09,37.0,20.0
2017-07-16,25.0,13.0
2017-07-23,31.0,25.0
2017-07-30,7.0,13.1
2017-08-06,13.0,17.0
2017-08-13,12.0,10.5
2017-08-20,20.0,14.5
2017-08-27,23.0,12.0
2017-09-03,16.0,14.1
2017-09-10,8.0,21.5
2017-09-17,30.0,18.4
2017-09-24,19.0,18.0
2017-10-01,98.0,4.0
2017-10-08,49.0,12.0
2017-10-15,52.0,13.5
2017-10-22,44.0,10.0
2017-10-29,73.0,12.5
2017-11-05,35.0,12.2
2017-11-12,51.0,8.5
2017-11-19,69.0,8.9
2017-11-26,21.0,7.0
2017-12-03,40.0,17.5
2017-12-10,64.0,13.0
2017-12-17,34.0,12.0
2017-12-24,32.0,5.6
2017-12-31,63.0,11.0
2018-01-07,39.0,16.0
2018-01-14,44.0,6.0
2018-01-21,75.0,9.5
2018-01-28,47.0,13.0
2018-02-04,34.0,17.4
2018-02-11,71.25,6.66
2018-02-18,48.0,6.0
2018-02-25,70.0,11.0
2018-03-04,68.0,14.5
2018-03-11,68.0,16.4
2018-03-18,61.0,24.0
2018-03-25,58.0,17.5
2018-04-01,51.0,21.1
2018-04-08,60.0,36.5
2018-04-15,52.0,53.5
2018-04-22,28.0,38.7
2018-04-29,66.0,56.4
2018-05-06,26.0,65.0
2018-05-13,31.0,51.0
2018-05-20,47.0,39.4
2018-05-27,31.0,37.0
2018-06-03,45.0,41.64
2018-06-10,23.0,24.4
2018-06-17,16.0,30.4
2018-06-24,29.0,32.6
2018-07-01,31.0,23.4
2018-07-08,41.0,33.5
2018-07-15,11.0,23.4
2018-07-22,24.0,29.0
2018-07-29,4.0,25.3
2018-08-05,9.0,29.3
2018-08-12,13.0,23.0
2018-08-19,28.0,20.0
2018-08-26,79.0,24.8
2018-09-02,36.0,17.0
2018-09-09,43.0,21.7
2018-09-16,42.0,17.4
2018-09-23,47.0,28.0
2018-09-30,67.0,17.0
2018-10-07,63.0,9.1
2018-10-14,56.0,22.0
2018-10-21,67.0,25.0
2018-10-28,116.0,14.8
2018-11-04,46.0,12.3
2018-11-11,93.0,8.9
2018-11-18,100.0,7.4
2018-11-25,67.0,11.3
2018-12-02,70.0,24.5
2018-12-09,56.0,9.0
2018-12-16,98.0,10.8
2018-12-23,58.0,9.0
2018-12-30,96.0,10.3
2019-01-06,54.0,11.0
2019-01-13,50.0,6.0
2019-01-20,121.0,13.0
2019-01-27,93.0,9.0
2019-02-03,131.0,13.7
2019-02-10,62.0,15.7
2019-02-17,35.0,16.6
2019-02-24,31.0,13.3
2019-03-03,57.0,23.9
2019-03-10,26.0,32.6
2019-03-17,88.0,32.0
2019-03-24,74.0,48.0
2019-03-31,53.0,49.5
2019-04-07,51.0,57.6
2019-04-14,42.0,40.5
2019-04-21,36.0,33.2
2019-04-28,62.0,36.4
2019-05-05,64.0,45.4
2019-05-12,123.0,24.0
2019-05-19,61.29166667,23.4
2019-05-26,65.0,34.0
2019-06-02,27.0,28.0
2019-06-09,45.0,28.1
2019-06-16,23.0,57.0
2019-06-23,32.0,35.94
2019-06-30,28.0,27.0
2019-07-07,17.0,28.8
2019-07-14,15.0,21.0
2019-07-21,15.0,28.0
2019-07-28,30.0,18.4
2019-08-04,48.0,19.7
2019-08-11,66.0,20.0
2019-08-18,35.0,23.0
2019-08-25,24.0,20.5
2019-09-01,15.0,27.1
2019-09-08,15.0,28.5
2019-09-15,30.0,30.5
2019-09-22,26.0,21.0
2019-09-29,40.41666667,23.1
2019-10-06,30.0,12.13
2019-10-13,12.0,1.0
